template_no	template_type	sentence	score
1	A1	Am văzut Maria. Maria.	0
1	A1	Am văzut de. Ana.	0
1	A1	Am văzut lui lui Cezara.	0
1	A1	- am văzut lui Ion.	0
1	A1	- am văzut lui Cezar.	0
2	A1	Nu am văzut de azi pe Maria, dar pe Ileana, da.	0
2	A1	Nu am văzut de azi pe Ana, dar pe Ileana, da.	0
2	A1	Nu am văzut de azi pe Cezara, dar pe Ileana, da.	0
2	A1	Nu l- am văzut azi pe Ion, dar pe Ileana, da.	2
2	A1	Nu l- am văzut azi pe Cezar, dar pe Ileana, da.	2
3	A1	. Maria am văzut p.	0
3	A1	. Ana am văzut o.	0
3	A1	. Cezara am văzut ca.	0
3	A1	. Ion - am văzut.	0
3	A1	. Cezar - am văzut.	0
4	A1	. Maria am văzut pe azi, dar pe Ileana, nu.	0
4	A1	. Ana am văzut pe azi, dar pe Ileana, nu.	0
4	A1	. Cezara am văzut pe azi, dar pe Ileana, nu.	0
4	A1	. Ion l - am văzut azi, dar pe Ileana, nu.	0
4	A1	. Cezar l - am văzut azi, dar pe Ileana, nu.	0
5	A1	- am văzut pe el.	0
5	A1	- a văzut de noi.	0
5	A1	- am văzut o dumneavoastră.	0
5	A1	- am văzut de dânsul.	0
5	A1	- am văzut cu ele.	0
6	A1	Nu - am văzut pe el azi, dar pe Ileana, da.	0
6	A1	Nu - a văzut azi pe noi, dar pe Ileana, da.	0
6	A1	Nu - am văzut pe dumneavoastră azi, dar pe Ileana, da.	0
6	A1	Nu - am văzut pe dânsul azi, dar pe Ileana, da.	0
6	A1	Nu - am văzut pe ele azi, dar pe Ileana, da.	0
7	A1	, el - am văzut.	0
7	A1	: noi - a văzut.	0
7	A1	. dumneavoastră ce am văzut.	0
7	A1	. dânsul ce am văzut.	0
7	A1	- ele le am văzut.	0
8	A1	, el - am văzut azi, dar pe Ileana, nu.	0
8	A1	de noi - a văzut azi, dar pe Ileana, nu.	0
8	A1	O dumneavoastră - am văzut azi, dar pe Ileana, nu.	0
8	A1	- dânsul - am văzut azi, dar pe Ileana, nu.	0
8	A1	: ele - am văzut azi, dar pe Ileana, nu.	0
9	A1	- am văzut pe omul înalt.	0
9	A1	Am văzut de o femeia de succes.	0
9	A1	- am văzut un clientul nemulțumit.	0
9	A1	- am văzut primul prim - ministrul ales.	0
9	A1	- am văzut de consăteanul bunicului meu.	0
10	A1	- am văzut pe omul.	0
10	A1	Am văzut de o femeia.	0
10	A1	- am văzut de clientul.	0
10	A1	- am văzut de prim - ministrul.	0
10	A1	- am văzut pe consăteanul.	0
11	A1	. omul - am văzut.	0
11	A1	. femeia am văzut de.	0
11	A1	. clientul - am văzut.	0
11	A1	. prim - ministrul - am văzut.	0
11	A1	- consăteanul - am văzut.	0
12	A1	Am văzut o o casă.	0
12	A1	- am văzut un lac.	2
12	A1	- am văzut în apartament.	0
12	A1	- am văzut în pod.	0
12	A1	- am văzut un bazin.	2
13	A1	Nu am vizitat orașul, dar am văzut casa din casa.	0
13	A1	Nu am vizitat orașul, dar nu am văzut un lac.	0
13	A1	Nu am vizitat orașul, dar nu am văzut un apartament.	0
13	A1	Nu am vizitat orașul, dar nu am văzut un pod.	0
13	A1	Nu am vizitat orașul, dar nu am văzut un bazin.	0
14	A1	Nu am văzut pe nimeni.	2
14	A1	Am văzut pe cineva.	2
14	A1	Am văzut de altcineva.	0
14	A1	Am așteptat pe cineva.	2
14	A1	N - am așteptat pe nimeni.	2
15	A1	Am văzut la casa.	0
15	A1	Am văzut pe lacul.	0
15	A1	Am văzut în apartamentul.	0
15	A1	Am văzut pe podul.	0
15	A1	Am văzut de bazinul.	0
16	A1	Am văzut - o casă.	0
16	A1	Am văzut la un lac.	0
16	A1	Am văzut în un apartament.	0
16	A1	Am văzut de un pod.	0
16	A1	Am văzut la un bazin.	0
17	A2	Am văzut - o pe o .	0
17	A2	Am văzut - o pe ei .	0
17	A2	Am văzut - o pe O .	0
17	A2	Am văzut - o pe el .	0
17	A2	Am văzut - o pe Io .	0
17	A2	Am văzut - o pe N .	0
17	A2	Am văzut - o pe D .	0
17	A2	Am văzut - o pe Ioan .	0
17	A2	Am văzut - o pe Toma .	0
17	A2	Am văzut - o pe R .	0
18	A2	L - am văzut pe petrol .	0
18	A2	L - am văzut pe el .	2
18	A2	L - am văzut pe drum .	1
18	A2	L - am văzut pe oraș .	0
18	A2	L - am văzut pe stat .	0
18	A2	L - am văzut pe țară .	0
18	A2	L - am văzut pe sat .	0
18	A2	L - am văzut pe viață .	0
18	A2	L - am văzut pe ei .	0
18	A2	L - am văzut pe radio .	0
19	A2	Pe când l - am văzut .	1
19	A2	Pe care l - am văzut .	1
19	A2	Pe pe l - am văzut .	0
19	A2	Pe - l - am văzut .	0
19	A2	Pe el l - am văzut .	2
19	A2	Pea l - am văzut .	0
