template_no	template_type	sentence	score
1	A1	am văzut fecioaa maria.	0
1	A1	am văzut pea ana.	0
1	A1	am văzut -a cezara.	0
1	A1	- am văzut pe ion.	0
1	A1	- am văzut pe cezar.	0
2	A1	nu am văzut nici azi pe maria, dar pe ileana, da.	0
2	A1	nu am văzut nici azi pe ana, dar pe ileana, da.	0
2	A1	nu am văzut nici azi pe cezara, dar pe ileana, da.	0
2	A1	nu - am văzut azi pe ion, dar pe ileana, da.	0
2	A1	nu - am văzut azi pe cezar, dar pe ileana, da.	0
3	A1	. maria am văzut ceva.	0
3	A1	. ana am văzut ceva.	0
3	A1	. cezara am văzut ceva.	0
3	A1	. ion nu am văzut.	0
3	A1	. cezar nu am văzut.	0
4	A1	. maria am văzut - azi, dar pe ileana, nu.	0
4	A1	. ana am văzut - azi, dar pe ileana, nu.	0
4	A1	. cezara am văzut și azi, dar pe ileana, nu.	0
4	A1	. ion l - am văzut azi, dar pe ileana, nu.	0
4	A1	. cezar l - am văzut azi, dar pe ileana, nu.	0
5	A1	- am văzut pe el.	0
5	A1	. a văzut pe noi.	0
5	A1	. am văzut pe dumneavoastră.	0
5	A1	- am văzut pe dânsul.	0
5	A1	- am văzut și ele.	0
6	A1	nu - am văzut pe el azi, dar pe ileana, da.	0
6	A1	nu - a văzut azi pe noi, dar pe ileana, da.	0
6	A1	nu - am văzut pe dumneavoastră azi, dar pe ileana, da.	0
6	A1	nu - am văzut pe dânsul azi, dar pe ileana, da.	0
6	A1	nu - am văzut de ele azi, dar pe ileana, da.	0
7	A1	. el nu am văzut.	0
7	A1	. noi nu a văzut.	0
7	A1	. dumneavoastră nu am văzut.	0
7	A1	. dânsul nu am văzut.	0
7	A1	din ele nu am văzut.	0
8	A1	. el, am văzut azi, dar pe ileana, nu.	0
8	A1	. noi, a văzut azi, dar pe ileana, nu.	0
8	A1	. dumneavoastră, am văzut azi, dar pe ileana, nu.	0
8	A1	. dânsul, am văzut azi, dar pe ileana, nu.	0
8	A1	dintre ele - am văzut azi, dar pe ileana, nu.	0
9	A1	- am văzut pe omul înalt.	0
9	A1	am văzut - o femeia de succes.	0
9	A1	. am văzut pe clientul nemulțumit.	0
9	A1	. am văzut pe prim - ministrul ales.	0
9	A1	. am văzut pe consăteanul bunicului meu.	0
10	A1	. am văzut pe omul.	0
10	A1	am văzut - o femeia.	0
10	A1	minute am văzut și clientul.	0
10	A1	minute am văzut pe prim - ministrul.	0
10	A1	- am văzut și consăteanul.	0
11	A1	. omul nu am văzut.	0
11	A1	. femeia am văzut nimic.	0
11	A1	. clientul nu am văzut.	0
11	A1	. prim - ministrul nu am văzut.	0
11	A1	. consăteanul nu am văzut.	0
12	A1	am văzut aceast în casă.	0
12	A1	. am văzut un lac.	2
12	A1	. am văzut un apartament.	2
12	A1	. am văzut un pod.	2
12	A1	. am văzut un bazin.	2
13	A1	nu am vizitat orașul, dar am văzut -ată casa.	0
13	A1	nu am vizitat orașul, dar nu am văzut un lac.	0
13	A1	nu am vizitat orașul, dar nu am văzut un apartament.	0
