template_no	template_type	sentence	score
1	A1	am vazut pe fecioara maria.	0
1	A1	am vazut pe lui ana.	0
1	A1	am vazut pe lui cezara.	0
1	A1	. am vazut pe ion.	0
1	A1	si am vazut pe cezar.	2
2	A1	nu am vazut pana azi pe maria, dar pe ileana, da.	?
2	A1	nu am vazut pana azi pe ana, dar pe ileana, da.	?
2	A1	nu am vazut pana azi pe cezara, dar pe ileana, da.	?
2	A1	nu prea am vazut azi pe ion, dar pe ileana, da.	?
2	A1	nu prea am vazut azi pe cezar, dar pe ileana, da.	?
3	A1	si maria am vazut aceasta.	0
3	A1	. ana am vazut..	0
3	A1	. cezara am vazut aceasta.	0
3	A1	. ion : am vazut.	0
3	A1	. cezar, am vazut.	0
4	A1	pe maria am vazut eu azi, dar pe ileana, nu.	0
4	A1	pe ana am vazut eu azi, dar pe ileana, nu.	0
4	A1	pe cezara am vazut si azi, dar pe ileana, nu.	0
4	A1	pe ion l - am vazut azi, dar pe ileana, nu.	2
4	A1	pe cezar l - am vazut azi, dar pe ileana, nu.	2
5	A1	si am vazut pe el.	0
5	A1	si a vazut pe noi.	0
5	A1	. am vazut mesajul dumneavoastra.	1
5	A1	si am vazut pe dansul.	0
5	A1	si am vazut in ele.	0
6	A1	nu, am vazut pe el azi, dar pe ileana, da.	0
6	A1	nu ca a vazut azi pe noi, dar pe ileana, da.	0
6	A1	nu, am vazut pe dumneavoastra azi, dar pe ileana, da.	0
6	A1	nu, am vazut pe dansul azi, dar pe ileana, da.	0
6	A1	nu, am vazut pe ele azi, dar pe ileana, da.	0
7	A1	in el nu am vazut.	0
7	A1	dintre noi nu a vazut.	0
7	A1	la dumneavoastra nu am vazut.	0
7	A1	si dansul nu am vazut.	0
7	A1	din ele nu am vazut.	0
8	A1	pe el, am vazut azi, dar pe ileana, nu.	0
8	A1	dintre noi, a vazut azi, dar pe ileana, nu.	0
8	A1	pe dumneavoastra - am vazut azi, dar pe ileana, nu.	0
8	A1	pe dansul - am vazut azi, dar pe ileana, nu.	0
8	A1	dintre ele nu am vazut azi, dar pe ileana, nu.	0
9	A1	si am vazut pe omul inalt.	0
9	A1	am vazut in este femeia de succes.	0
9	A1	. am vazut si clientul nemultumit.	0
9	A1	. am vazut pe prim - ministrul ales.	0
9	A1	si am vazut pe consateanul bunicului meu.	0
10	A1	si am vazut pe omul.	0
10	A1	am vazut pe era femeia.	0
