template_no	template_type	sentence	score
1	A1	am văzut pe pe maria.	0
1	A1	am văzut, pe ana.	0
1	A1	am văzut - pe cezara.	0
1	A1	- am văzut pe ion.	0
1	A1	. am văzut pe cezar.	0
2	A1	nu am văzut nici azi pe maria, dar pe ileana, da.	0
2	A1	nu am văzut nici azi pe ana, dar pe ileana, da.	0
2	A1	nu am văzut nici azi pe cezara, dar pe ileana, da.	0
2	A1	nu - am văzut azi pe ion, dar pe ileana, da.	0
2	A1	nu - am văzut azi pe cezar, dar pe ileana, da.	0
3	A1	. maria am văzut tot.	0
3	A1	. ana am văzut filmul.	0
3	A1	. cezara am văzut tot.	0
3	A1	. ion : am văzut.	0
3	A1	. cezar : am văzut.	0
4	A1	pe maria am văzut și azi, dar pe ileana, nu.	0
4	A1	pe ana am văzut și azi, dar pe ileana, nu.	0
4	A1	pe cezara am văzut și azi, dar pe ileana, nu.	0
4	A1	pe ion l - am văzut azi, dar pe ileana, nu.	2
4	A1	pe cezar l - am văzut azi, dar pe ileana, nu.	2
5	A1	eu am văzut pe el.	0
5	A1	domnul a văzut pe noi.	0
5	A1	. am văzut la dumneavoastră.	0
5	A1	. am văzut la dânsul.	0
5	A1	. am văzut din ele.	0
6	A1	nu - am văzut pe el azi, dar pe ileana, da.	0
6	A1	nu - a văzut azi pe noi, dar pe ileana, da.	0
6	A1	nu - am văzut pe dumneavoastră azi, dar pe ileana, da.	0
6	A1	nu - am văzut pe dânsul azi, dar pe ileana, da.	0
6	A1	nu prea am văzut pe ele azi, dar pe ileana, da.	0
7	A1	din el, am văzut.	0
7	A1	din noi nu a văzut.	0
7	A1	. dumneavoastră, am văzut.	0
7	A1	la dânsul, am văzut.	0
7	A1	din ele nu am văzut.	0
8	A1	pe el - am văzut azi, dar pe ileana, nu.	0
8	A1	pe noi, a văzut azi, dar pe ileana, nu.	0
8	A1	pe dumneavoastră v am văzut azi, dar pe ileana, nu.	2
8	A1	pe dânsul - am văzut azi, dar pe ileana, nu.	0
8	A1	pe ele le am văzut azi, dar pe ileana, nu.	2
9	A1	. am văzut pe omul înalt.	0
9	A1	am văzut cumeauna femeia de succes.	0
9	A1	. am văzut și clientul nemulțumit.	1
9	A1	. am văzut pe prim - ministrul ales.	0
9	A1	. am văzut pe consăteanul bunicului meu.	0
10	A1	. am văzut eu omul.	?
10	A1	am văzut, spune femeia.	2
10	A1	. am văzut și clientul.	2
10	A1	. am văzut și prim - ministrul.	0
10	A1	. am văzut pe consăteanul.	0
11	A1	iată omul acela am văzut.	0
11	A1	. femeia am văzut tot.	0
11	A1	. clientul : am văzut.	0
11	A1	. prim - ministrul : am văzut.	0
11	A1	. consăteanul : am văzut.	0
12	A1	am văzut aceast în casă.	0
12	A1	. am văzut un lac.	2
12	A1	. am văzut un apartament.	2
12	A1	. am văzut un pod.	2
12	A1	. am văzut un bazin.	2
13	A1	nu am vizitat orașul, dar am văzut casa și casa.	2
13	A1	nu am vizitat orașul, dar măcar am văzut un lac.	2
13	A1	nu am vizitat orașul, dar măcar am văzut un apartament.	2
13	A1	nu am vizitat orașul, dar măcar am văzut un pod.	2
13	A1	nu am vizitat orașul, dar măcar am văzut un bazin.	2
14	A1	nu am văzut pe nimeni.	2
14	A1	am văzut pe cineva.	2
14	A1	am văzut pe altcineva.	2
14	A1	am așteptat pe cineva.	2
14	A1	n - am așteptat pe nimeni.	2
15	A1	am văzut toată casa.	2
15	A1	am văzut și lacul.	2
15	A1	am văzut tot apartamentul.	2
15	A1	am văzut și podul.	2
15	A1	am văzut și bazinul.	2
16	A1	am văzut şi o casă.	2
16	A1	am văzut şi un lac.	2
16	A1	am văzut și un apartament.	2
16	A1	am văzut şi un pod.	2
16	A1	am văzut și un bazin.	2
17	A2	Am văzut-o pe ea.	2
17	A2	Am văzut-o pe maria.	2
17	A2	Am văzut-o pe mama.	2
17	A2	Am văzut-o pe femeie.	2
17	A2	Am văzut-o pe eva.	2
17	A2	Am văzut-o pe regină.	2
17	A2	Am văzut-o pe ana.	2
17	A2	Am văzut-o pe fată.	2
17	A2	Am văzut-o pe mara.	2
17	A2	Am văzut-o pe marie.	2
18	A2	L-am văzut pe isus.	2
18	A2	L-am văzut pe domnul.	?
18	A2	L-am văzut pe el.	2
18	A2	L-am văzut pe rege.	2
18	A2	L-am văzut pe mesia.	2
18	A2	L-am văzut pe tatăl.	0
18	A2	L-am văzut pe ioan.	2
18	A2	L-am văzut pe petru.	2
18	A2	L-am văzut pe iona.	2
18	A2	L-am văzut pe iisus.	2
19	A2	Pe el l-am văzut.	2
19	A2	Pe care l-am văzut.	0
19	A2	Pe acesta l-am văzut.	2
19	A2	Pe isus l-am văzut.	2
19	A2	Pe acela l-am văzut.	2
19	A2	Pe iona l-am văzut.	2
19	A2	Pe domnul l-am văzut.	?
19	A2	Pe petru l-am văzut.	2
19	A2	Pe rege l-am văzut.	2
19	A2	Pe daniel l-am văzut.	2
20	A2	Am văzut-o pe ana azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe ea azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe mama azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe ioana azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe maria azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe monica azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe ileana azi, dar pe Ileana, nu.	0
20	A2	Am văzut-o pe oana azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe irina azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe alice azi, dar pe Ileana, nu.	2
21	A2	Pe ea am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe ana am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe ioana am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe mama am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe maria am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe oana am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe ileana am văzut-o azi, dar pe Ileana, nu.	0
21	A2	Pe irina am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe anca am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe silvia am văzut-o azi, dar pe Ileana, nu.	2
22	A2	Am văzut pe cineva.	2
22	A2	Am văzut pe domnul.	0
22	A2	Am văzut pe petru.	0
22	A2	Am văzut pe unul.	0
22	A2	Am văzut pe toți.	0
22	A2	Am văzut pe fată.	0
22	A2	Am văzut pe mama.	0
22	A2	Am văzut pe nimeni.	0
22	A2	Am văzut pe tata.	0
22	A2	Am văzut pe tatăl.	0
